Date,Stock name,Open,High,Low,Close*,Adj Close**,Volume,average volume per stock,Higher or lower then average volume,Volume avg,higher closing,higher closing 0 or 1,volatility,Volitity (1 or 0),mv50,Higher MV50,Higher than MVA50,MV100,Higher MVA100,Higher than MVA100,EMA 50,Higher then EMVA,Higher than EMVA 1
43875.00,CokeCola,287.31,292.00,281.01,281.01,279.83,37000.00,46253.14,No,0,No,0,No,0,279.31,Yes,1,283.46,No,0,279.62,No,0
43879.00,CokeCola,280.96,291.40,276.82,277.50,276.34,42500.00,46253.14,No,0,No,0,No,0,279.34,No,0,283.29,No,0,279.54,Yes,1
43880.00,CokeCola,280.17,282.00,276.41,276.58,275.42,29800.00,46253.14,No,0,No,0,No,0,279.39,No,0,283.09,No,0,279.42,Yes,1
43881.00,CokeCola,276.07,278.93,273.00,273.97,272.82,31800.00,46253.14,No,0,No,0,No,0,279.30,No,0,282.87,No,0,279.21,Yes,1
43882.00,CokeCola,273.69,275.49,271.27,273.68,272.53,24100.00,46253.14,No,0,No,0,No,0,279.29,No,0,282.60,No,0,278.99,Yes,1
43885.00,CokeCola,269.88,270.65,264.05,265.24,264.13,29300.00,46253.14,No,0,No,0,No,0,279.04,No,0,282.24,No,0,278.45,Yes,1
43886.00,CokeCola,266.13,270.07,253.09,255.98,254.91,70100.00,46253.14,Yes,1,No,0,No,0,278.68,No,0,281.77,No,0,277.57,Yes,1
43887.00,CokeCola,240.01,244.90,203.48,210.00,209.12,195000.00,46253.14,Yes,1,No,0,No,0,277.42,No,0,280.84,No,0,274.92,Yes,1
43888.00,CokeCola,207.50,210.00,200.52,201.02,200.18,87400.00,46253.14,Yes,1,No,0,No,0,275.90,No,0,279.92,No,0,272.02,Yes,1
43889.00,CokeCola,198.58,202.17,190.43,196.38,195.56,104800.00,46253.14,Yes,1,No,0,No,0,274.32,No,0,278.95,No,0,269.06,Yes,1
43892.00,CokeCola,202.59,226.00,202.59,221.02,220.09,154700.00,46253.14,Yes,1,Yes,1,No,0,273.18,No,0,278.09,No,0,267.17,Yes,1
43893.00,CokeCola,224.86,235.71,206.00,211.96,211.07,102600.00,46253.14,Yes,1,No,0,No,0,271.93,No,0,277.19,No,0,265.01,Yes,1
43894.00,CokeCola,217.48,221.98,206.02,215.99,215.09,95900.00,46253.14,Yes,1,No,0,No,0,270.79,No,0,276.40,No,0,263.08,Yes,1
43895.00,CokeCola,211.75,214.86,202.67,206.46,205.60,56100.00,46253.14,Yes,1,No,0,No,0,269.27,No,0,275.52,No,0,260.86,Yes,1
43896.00,CokeCola,203.81,208.70,201.10,206.05,205.19,45300.00,46253.14,No,0,Yes,1,No,0,267.69,No,0,274.64,No,0,258.71,Yes,1
43899.00,CokeCola,200.01,200.51,193.50,198.60,197.77,79300.00,46253.14,Yes,1,No,0,No,0,265.93,No,0,273.70,No,0,256.36,Yes,1
43900.00,CokeCola,205.32,218.51,200.00,218.14,217.23,102200.00,46253.14,Yes,1,Yes,1,No,0,264.44,No,0,272.97,No,0,254.86,Yes,1
43901.00,CokeCola,213.71,213.71,199.27,206.00,205.14,91700.00,46253.14,Yes,1,No,0,No,0,262.69,No,0,272.15,No,0,252.94,Yes,1
43902.00,CokeCola,195.00,205.00,188.81,203.53,202.68,104200.00,46253.14,Yes,1,Yes,1,No,0,260.98,No,0,271.28,No,0,251.00,Yes,1
43903.00,CokeCola,210.74,216.69,198.40,216.69,215.78,96000.00,46253.14,Yes,1,Yes,1,No,0,259.63,No,0,270.53,No,0,249.66,Yes,1
43906.00,CokeCola,195.92,214.14,195.00,201.05,200.21,62100.00,46253.14,Yes,1,Yes,1,No,0,258.01,No,0,269.66,No,0,247.75,Yes,1
43907.00,CokeCola,203.61,216.20,199.97,216.20,215.29,91900.00,46253.14,Yes,1,Yes,1,No,0,256.62,No,0,268.92,No,0,246.52,Yes,1
43908.00,CokeCola,203.51,216.17,198.43,206.32,205.46,78200.00,46253.14,Yes,1,Yes,1,No,0,255.10,No,0,268.17,No,0,244.94,Yes,1
43909.00,CokeCola,204.71,210.14,199.99,201.00,200.16,109800.00,46253.14,Yes,1,No,0,No,0,253.54,No,0,267.47,No,0,243.22,Yes,1
43910.00,CokeCola,202.97,212.49,191.45,192.57,191.76,99900.00,46253.14,Yes,1,No,0,No,0,251.84,No,0,266.62,No,0,241.23,Yes,1
43913.00,CokeCola,192.30,200.33,188.08,193.39,192.58,68300.00,46253.14,Yes,1,Yes,1,No,0,250.18,No,0,265.84,No,0,239.35,Yes,1
43914.00,CokeCola,200.45,206.80,193.94,203.00,202.15,82000.00,46253.14,Yes,1,Yes,1,No,0,248.74,No,0,265.15,No,0,237.93,Yes,1
43915.00,CokeCola,208.98,244.52,204.25,218.65,217.73,170100.00,46253.14,Yes,1,Yes,1,No,0,247.50,No,0,264.63,No,0,237.17,Yes,1
43916.00,CokeCola,220.92,238.80,210.03,219.95,219.03,125900.00,46253.14,Yes,1,No,0,No,0,246.35,No,0,264.07,No,0,236.50,Yes,1
43917.00,CokeCola,216.48,220.00,201.00,201.12,200.28,84000.00,46253.14,Yes,1,No,0,No,0,244.81,No,0,263.33,No,0,235.11,Yes,1
43920.00,CokeCola,203.59,213.50,201.99,207.66,206.79,47100.00,46253.14,Yes,1,Yes,1,No,0,243.24,No,0,262.68,No,0,234.03,Yes,1
43921.00,CokeCola,207.37,212.79,204.30,208.53,207.66,52800.00,46253.14,Yes,1,Yes,1,No,0,241.82,No,0,262.15,No,0,233.03,Yes,1
43922.00,CokeCola,204.71,206.00,192.55,194.09,193.28,86300.00,46253.14,Yes,1,No,0,No,0,240.09,No,0,261.43,No,0,231.51,Yes,1
43923.00,CokeCola,194.77,201.73,193.77,198.99,198.16,60100.00,46253.14,Yes,1,Yes,1,No,0,238.43,No,0,260.76,No,0,230.23,Yes,1
43924.00,CokeCola,200.00,210.24,196.14,207.01,206.14,53900.00,46253.14,Yes,1,Yes,1,No,0,237.01,No,0,260.18,No,0,229.32,Yes,1
43927.00,CokeCola,213.50,223.82,202.01,221.47,220.54,75900.00,46253.14,Yes,1,Yes,1,No,0,235.91,No,0,259.67,No,0,229.01,Yes,1
43928.00,CokeCola,225.00,230.44,216.43,223.00,222.07,73600.00,46253.14,Yes,1,No,0,No,0,234.85,No,0,259.18,No,0,228.78,Yes,1
43929.00,CokeCola,226.59,233.97,220.51,230.01,229.05,52900.00,46253.14,Yes,1,Yes,1,No,0,233.95,No,0,258.72,No,0,228.82,No,0
43930.00,CokeCola,235.52,255.50,230.01,253.17,252.11,86700.00,46253.14,Yes,1,Yes,1,No,0,233.53,Yes,1,258.51,No,0,229.78,No,0
43934.00,CokeCola,250.00,250.00,236.00,238.19,237.19,76100.00,46253.14,Yes,1,No,0,No,0,232.75,Yes,1,258.14,No,0,230.11,No,0
43935.00,CokeCola,245.60,249.65,238.75,241.97,240.96,52200.00,46253.14,Yes,1,No,0,No,0,232.17,Yes,1,257.81,No,0,230.57,No,0
43936.00,CokeCola,237.00,241.35,234.41,234.41,233.43,45000.00,46253.14,No,0,No,0,No,0,231.33,Yes,1,257.42,No,0,230.72,No,0
43937.00,CokeCola,237.00,242.64,231.36,236.76,235.77,36000.00,46253.14,No,0,No,0,No,0,230.51,Yes,1,257.06,No,0,230.96,No,0
43938.00,CokeCola,242.98,244.00,239.06,242.98,241.96,31800.00,46253.14,No,0,No,0,No,0,229.88,Yes,1,256.78,No,0,231.43,No,0
43941.00,CokeCola,240.00,240.94,233.55,234.90,233.92,41200.00,46253.14,No,0,No,0,No,0,229.05,Yes,1,256.29,No,0,231.57,No,0
43942.00,CokeCola,232.14,232.14,222.54,223.72,222.78,63200.00,46253.14,Yes,1,No,0,No,0,227.93,No,0,255.81,No,0,231.26,Yes,1
43943.00,CokeCola,225.86,229.66,223.00,227.55,226.85,41400.00,46253.14,No,0,Yes,1,No,0,226.88,Yes,1,255.36,No,0,231.12,Yes,1
43944.00,CokeCola,228.29,229.81,225.09,226.13,225.43,27900.00,46253.14,No,0,No,0,No,0,225.76,Yes,1,254.89,No,0,230.92,Yes,1
43945.00,CokeCola,226.07,229.27,224.03,227.85,227.15,29200.00,46253.14,No,0,Yes,1,No,0,224.70,Yes,1,254.42,No,0,230.80,Yes,1
43948.00,CokeCola,230.98,239.84,229.15,238.05,237.32,58900.00,46253.14,Yes,1,Yes,1,No,0,223.71,Yes,1,254.10,No,0,231.08,No,0
43949.00,CokeCola,242.12,243.00,237.30,237.59,236.86,52100.00,46253.14,Yes,1,No,0,No,0,222.84,Yes,1,253.78,No,0,231.34,No,0
43950.00,CokeCola,243.59,246.99,238.49,242.53,241.78,46300.00,46253.14,Yes,1,No,0,No,0,222.14,Yes,1,253.50,No,0,231.78,No,0
43951.00,CokeCola,240.18,244.71,232.49,235.47,234.75,41000.00,46253.14,No,0,No,0,No,0,221.32,Yes,1,253.09,No,0,231.92,No,0
43952.00,CokeCola,231.56,238.74,227.25,232.14,231.43,31500.00,46253.14,No,0,Yes,1,No,0,220.48,Yes,1,252.68,No,0,231.93,No,0
43955.00,CokeCola,230.54,235.26,225.00,232.88,232.16,39300.00,46253.14,No,0,Yes,1,No,0,219.67,Yes,1,252.22,No,0,231.97,No,0
43956.00,CokeCola,235.00,240.99,230.76,233.64,232.92,42500.00,46253.14,No,0,No,0,No,0,219.04,Yes,1,251.81,No,0,232.03,No,0
43957.00,CokeCola,239.99,243.96,235.20,239.89,239.15,51600.00,46253.14,Yes,1,No,0,No,0,218.71,Yes,1,251.44,No,0,232.34,No,0
